Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)|Rugrats Movie, The (1998)|Bug's Life, A (1998)|Toy Story 2 (1999)|Saludos Amigos (1943)|Chicken Run (2000)|Adventures of Rocky and Bullwinkle, The (2000)|Goofy Movie, A (1995)"
"Man from Laramie, The (1955)","Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)|Tombstone (1993)|Wild Bunch, The (1969)|Dead Man (1995)|Angel and the Badman (1947)|Outlaw, The (1943)|Davy Crockett, King of the Wild Frontier (1955)|Once Upon a Time in the West (1969)"
"McCullochs, The (1975)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Class Reunion (1982),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
"Big Trees, The (1952)","Target (1995)|Perfect World, A (1993)|Program, The (1993)|Romper Stomper (1992)|Palookaville (1996)|Johnny 100 Pesos (1993)|Marked for Death (1990)|Mad City (1997)|Men of Means (1998)|Tokyo Fist (1995)"
Happy Go Lovely (1951),"Meet Me in St. Louis (1944)|Gigi (1958)|Inspector General, The (1949)|Sound of Music, The (1965)|Madame Butterfly (1995)|Broadway Melody, The (1929)|Great Ziegfeld, The (1936)|Oliver! (1968)|King and I, The (1956)|Love Bewitched, A (El Amor Brujo) (1986)"
Reindeer Games (2000),"Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)|Die Hard: With a Vengeance (1995)|Natural Born Killers (1994)|River Wild, The (1994)|Mirage (1995)|Blown Away (1994)|Fugitive, The (1993)|In the Line of Fire (1993)"
Wonder Boys (2000),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
Deterrence (1998),"Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)|Jade (1995)|Mute Witness (1994)|Safe (1995)|Tie That Binds, The (1995)|Dream Man (1995)|Hideaway (1995)|Poison Ivy II (1995)"
Judy Berlin (1999),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Mifune (Mifunes sidste sang) (1999),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)
"Waiting Game, The (2000)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
3 Strikes (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Chain of Fools (2000),"Striptease (1996)|Carpool (1996)|Some Like It Hot (1959)|Sting, The (1973)|Grosse Pointe Blank (1997)|Twin Town (1997)|Mafia! (1998)|Very Bad Things (1998)|Armed and Dangerous (1986)|Sister Act (1992)"
Drowning Mona (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
"Next Best Thing, The (2000)","Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
What Planet Are You From? (2000),"Junior (1994)|Coneheads (1993)|Mystery Science Theater 3000: The Movie (1996)|Visitors, The (Les Visiteurs) (1993)|Sleeper (1973)|Delicatessen (1991)|Back to the Future (1985)|Repo Man (1984)|Back to the Future Part II (1989)|Cocoon (1985)"
Beyond the Mat (2000),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
Ghost Dog: The Way of the Samurai (1999),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)|Pulp Fiction (1994)|Jason's Lyric (1994)|Carlito's Way (1993)|Cyclo (1995)|Killer: A Journal of Murder (1995)|Angel on My Shoulder (1946)|They Made Me a Criminal (1939)"
"Year My Voice Broke, The (1987)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Splendor in the Grass (1961),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
My Tutor (1983),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Legend of Lobo, The (1962)","Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)|Far From Home: The Adventures of Yellow Dog (1995)|Secret Adventures of Tom Thumb, The (1993)|Black Beauty (1994)|Lassie (1994)|Andre (1994)|Homeward Bound II: Lost in San Francisco (1996)|Flipper (1996)"
"Killing of Sister George, The (1968)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Key Largo (1948),"Copycat (1995)|Amateur (1994)|Kiss of Death (1995)|Guilty as Sin (1993)|Fargo (1996)|Mulholland Falls (1996)|He Walked by Night (1948)|Grifters, The (1990)|Once Upon a Time in America (1984)|Touch of Evil (1958)"
Jail Bait (1954),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)|Pulp Fiction (1994)|Jason's Lyric (1994)|Carlito's Way (1993)|Cyclo (1995)|Killer: A Journal of Murder (1995)|Angel on My Shoulder (1946)|They Made Me a Criminal (1939)"
It Happened Here (1961),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
I'll Never Forget What's 'is Name (1967),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
For All Mankind (1989),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
Cross of Iron (1977),"Land and Freedom (Tierra y libertad) (1995)|Underground (1995)|Stalingrad (1993)|Pharaoh's Army (1995)|Prisoner of the Mountains (Kavkazsky Plennik) (1996)|All Quiet on the Western Front (1930)|Pork Chop Hill (1959)|Run Silent, Run Deep (1958)|Tora! Tora! Tora! (1970)|Devil's Brigade, The (1968)"
Bride of the Monster (1956),"Species (1995)|Village of the Damned (1995)|Robert A. Heinlein's The Puppet Masters (1994)|Night of the Living Dead (1968)|Blob, The (1958)|Alien Escape (1995)|Species II (1998)|Plan 9 from Outer Space (1958)|Parasite (1982)|Lifeforce (1985)"
Born Yesterday (1950),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Birdy (1984),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)|Schindler's List (1993)|Courage Under Fire (1996)|Nothing Personal (1995)|Michael Collins (1996)|Platoon (1986)|Paths of Glory (1957)|Apocalypse Now (1979)"
And God Created Woman (1988),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)|Corrina, Corrina (1994)|I Like It Like That (1994)|What Happened Was... (1994)|Emma (1996)|Twelfth Night (1996)|Cinema Paradiso (1988)|Wings of Desire (Der Himmel über Berlin) (1987)"
Blood Feast (1963),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
"Charlie, the Lonesome Cougar (1967)","Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)|Far From Home: The Adventures of Yellow Dog (1995)|Secret Adventures of Tom Thumb, The (1993)|Black Beauty (1994)|Lassie (1994)|Andre (1994)|Homeward Bound II: Lost in San Francisco (1996)|Flipper (1996)"
Color Me Blood Red (1965),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Never Cry Wolf (1983),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Night Visitor, The (1970)","Seven (Se7en) (1995)|Usual Suspects, The (1995)|Romeo Is Bleeding (1993)|Purple Noon (1960)|Reservoir Dogs (1992)|Albino Alligator (1996)|City of Industry (1997)|Playing God (1997)|Incognito (1997)|Red Corner (1997)"
"Perils of Pauline, The (1947)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
"Raisin in the Sun, A (1961)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Two Thousand Maniacs! (1964),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)"
Brown's Requiem (1998),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Closer You Get, The (2000)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)
Mission to Mars (2000),"Alphaville (1965)|Brazil (1985)|Clockwork Orange, A (1971)|Forbidden Planet (1956)|Tetsuo II: Body Hammer (1992)|Metropolis (1926)|Black Hole, The (1979)|Meteor (1979)|Sticky Fingers of Time, The (1997)|Flying Saucer, The (1950)"
"Ninth Gate, The (2000)","Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)|Jade (1995)|Mute Witness (1994)|Safe (1995)|Tie That Binds, The (1995)|Dream Man (1995)|Hideaway (1995)|Poison Ivy II (1995)"
Condo Painting (2000),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)
East-West (Est-ouest) (1999),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)"
Defending Your Life (1991),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)
Breaking Away (1979),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Hoosiers (1986),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Bull Durham (1988),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Dog Day Afternoon (1975),Two Crimes (1995)|Hana-bi (1997)|Mystery Train (1989)|Best Men (1997)|Midnight in the Garden of Good and Evil (1997)|Lethal Weapon 4 (1998)|Lethal Weapon (1987)|Lethal Weapon 2 (1989)|Lethal Weapon 3 (1992)|Montana (1998)
American Graffiti (1973),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
"Asphalt Jungle, The (1950)","Crossfire (1947)|Killing, The (1956)|Double Indemnity (1944)|Mulholland Falls (1996)|Laura (1944)|He Walked by Night (1948)|Grifters, The (1990)|Touch of Evil (1958)|M (1931)|Hoodlum (1997)"
"Searchers, The (1956)","Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)|Tombstone (1993)|Wild Bunch, The (1969)|Dead Man (1995)|Angel and the Badman (1947)|Outlaw, The (1943)|Davy Crockett, King of the Wild Frontier (1955)|Once Upon a Time in the West (1969)"
Where Eagles Dare (1969),"Captain Horatio Hornblower (1951)|Operation Dumbo Drop (1995)|African Queen, The (1951)|Starship Troopers (1997)|Mortal Kombat (1995)|Waterworld (1995)|Good Man in Africa, A (1994)|Quest, The (1996)|Fled (1996)|For Whom the Bell Tolls (1943)"
"Devil's Brigade, The (1968)","Land and Freedom (Tierra y libertad) (1995)|Underground (1995)|Stalingrad (1993)|Pharaoh's Army (1995)|Prisoner of the Mountains (Kavkazsky Plennik) (1996)|All Quiet on the Western Front (1930)|Pork Chop Hill (1959)|Run Silent, Run Deep (1958)|Tora! Tora! Tora! (1970)|Cross of Iron (1977)"
"Big Country, The (1958)","Santa Fe Trail (1940)|Persuasion (1995)|Wild Bill (1995)|Legends of the Fall (1994)|Wyatt Earp (1994)|Bad Girls (1994)|Tombstone (1993)|Wild Bunch, The (1969)|Modern Affair, A (1995)|Jack and Sarah (1995)"
Any Number Can Win (Mélodie en sous-sol ) (1963),"Young Poisoner's Handbook, The (1995)|Clean Slate (Coup de Torchon) (1981)|Switchblade Sisters (1975)|Original Gangstas (1996)|Kansas City (1996)|2 Days in the Valley (1996)|Curdled (1996)|Freeway (1996)|Mad Dog Time (1996)|Gridlock'd (1997)"
Betrayed (1988),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)|Mary Reilly (1996)|City Hall (1996)|Taxi Driver (1976)|Babysitter, The (1995)|Disclosure (1994)|Death and the Maiden (1994)|Dolores Claiborne (1994)"
Bound for Glory (1976),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Bridge at Remagen, The (1969)","Rambo: First Blood Part II (1985)|Rambo III (1988)|Heartbreak Ridge (1986)|Iron Eagle (1986)|Iron Eagle II (1988)|Aces: Iron Eagle III (1992)|Iron Eagle IV (1995)|Dirty Dozen, The (1967)|Sea Wolves, The (1980)|Red Dawn (1984)"
Buck and the Preacher (1972),"Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)|Tombstone (1993)|Wild Bunch, The (1969)|Dead Man (1995)|Angel and the Badman (1947)|Outlaw, The (1943)|Davy Crockett, King of the Wild Frontier (1955)|Once Upon a Time in the West (1969)"
Daughters of the Dust (1992),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Destination Moon (1950),"Alphaville (1965)|Brazil (1985)|Clockwork Orange, A (1971)|Forbidden Planet (1956)|Tetsuo II: Body Hammer (1992)|Metropolis (1926)|Black Hole, The (1979)|Meteor (1979)|Sticky Fingers of Time, The (1997)|Flying Saucer, The (1950)"
"Fantastic Night, The (La Nuit Fantastique) (1949)","Persuasion (1995)|Modern Affair, A (1995)|Jack and Sarah (1995)|Promise, The (Versprechen, Das) (1994)|Walking and Talking (1996)|Crude Oasis, The (1995)|1-900 (1994)|Liebelei (1933)|Affair to Remember, An (1957)|Madagascar Skin (1995)"
Hangmen Also Die (1943),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)|Schindler's List (1993)|Courage Under Fire (1996)|Nothing Personal (1995)|Michael Collins (1996)|Platoon (1986)|Paths of Glory (1957)|Apocalypse Now (1979)"
"Ogre, The (Der Unhold) (1996)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
On the Beach (1959),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Railroaded! (1947),"Force of Evil (1948)|Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)|Raw Deal (1948)|T-Men (1947)|Out of the Past (1947)|Killer's Kiss (1955)|Gilda (1946)|Hitch-Hiker, The (1953)|Big Combo, The (1955)|Suture (1993)"
Slaves to the Underground (1997),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)"
Song of Freedom (1936),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Big Fella (1937),"Misérables, Les (1995)|Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)|Farinelli: il castrato (1994)|Backbeat (1993)|Doors, The (1991)|Evita (1996)|Selena (1997)|Nashville (1975)|Tommy (1975)|King Creole (1958)"
