Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)"
Cleo From 5 to 7 (Cl�o de 5 � 7) (1962),Nixon (1995)|Othello (1995)|Now and Then (1995)
Big Momma's House (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Running Free (2000),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Abominable Snowman, The (1957)",Species (1995)|Village of the Damned (1995)|Robert A. Heinlein's The Puppet Masters (1994)
American Gigolo (1980),Nixon (1995)|Othello (1995)|Now and Then (1995)
Anguish (Angustia) (1986),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
"Blood Spattered Bride, The (La Novia Ensangrentada) (1972)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
City of the Living Dead (Paura nella citt� dei morti viventi) (1980),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
"Endless Summer, The (1966)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
"Guns of Navarone, The (1961)",Braveheart (1995)|Heaven & Earth (1993)|Full Metal Jacket (1987)
Blow-Out (La Grande Bouffe) (1973),Nixon (1995)|Othello (1995)|Now and Then (1995)
Lured (1947),"Young Poisoner's Handbook, The (1995)|Clean Slate (Coup de Torchon) (1981)|Switchblade Sisters (1975)"
Pandora and the Flying Dutchman (1951),Nixon (1995)|Othello (1995)|Now and Then (1995)
Quatermass and the Pit (1967),"Alphaville (1965)|Brazil (1985)|Clockwork Orange, A (1971)"
Quatermass II (1957),"Lawnmower Man 2: Beyond Cyberspace (1996)|Screamers (1995)|Net, The (1995)"
Puppet Master (1989),Body Snatchers (1993)|Village of the Damned (1960)|Children of the Damned (1963)
Puppet Master II (1990),Body Snatchers (1993)|Village of the Damned (1960)|Children of the Damned (1963)
Puppet Master III: Toulon's Revenge (1991),Body Snatchers (1993)|Village of the Damned (1960)|Children of the Damned (1963)
Puppet Master 4 (1993),Body Snatchers (1993)|Village of the Damned (1960)|Children of the Damned (1963)
Puppet Master 5: The Final Chapter (1994),Body Snatchers (1993)|Village of the Damned (1960)|Children of the Damned (1963)
Curse of the Puppet Master (1998),Body Snatchers (1993)|Village of the Damned (1960)|Children of the Damned (1963)
Retro Puppetmaster (1999),Body Snatchers (1993)|Village of the Damned (1960)|Children of the Damned (1963)
Rent-A-Cop (1988),"I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)"
Romeo and Juliet (1968),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Stay Tuned (1992),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Story of G.I. Joe, The (1945)",Land and Freedom (Tierra y libertad) (1995)|Underground (1995)|Stalingrad (1993)
Blazing Saddles (1974),City Slickers II: The Legend of Curly's Gold (1994)|Lightning Jack (1994)|Hot Lead and Cold Feet (1978)
Benji (1974),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
Benji the Hunted (1987),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
For the Love of Benji (1977),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
White Christmas (1954),"Meet Me in St. Louis (1944)|Gigi (1958)|Inspector General, The (1949)"
Eraserhead (1977),Interview with the Vampire (1994)|Mary Shelley's Frankenstein (1994)|Beyond Bedlam (1993)
Baraka (1992),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
"Man with the Golden Arm, The (1955)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Decline of Western Civilization, The (1981)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
"Decline of Western Civilization Part II: The Metal Years, The (1988)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
For a Few Dollars More (1965),Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)
Magnum Force (1973),Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)
Blood Simple (1984),"Grifters, The (1990)|Hoodlum (1997)|This World, Then the Fireworks (1996)"
"Fabulous Baker Boys, The (1989)",Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Prizzi's Honor (1985),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)"
Flatliners (1990),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Light Years (1988),"Alphaville (1965)|Brazil (1985)|Clockwork Orange, A (1971)"
Porky's (1981),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Porky's II: The Next Day (1983),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Porky's Revenge (1985),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Private School (1983),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Class of Nuke 'Em High (1986),Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)
"Toxic Avenger, The (1985)",Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)
"Toxic Avenger, Part II, The (1989)",Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)
"Toxic Avenger Part III: The Last Temptation of Toxie, The (1989)",Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)
Night of the Creeps (1986),"Rocky Horror Picture Show, The (1975)|Dracula: Dead and Loving It (1995)|Species (1995)"
Predator 2 (1990),Johnny Mnemonic (1995)|Nemesis 2: Nebula (1995)|Terminator 2: Judgment Day (1991)
"Running Man, The (1987)",Judge Dredd (1995)|Stargate (1994)|Star Trek: Generations (1994)
Starman (1984),"Open Your Eyes (Abre los ojos) (1997)|Blue Lagoon, The (1980)|Forever Young (1992)"
"Brother from Another Planet, The (1984)","Powder (1995)|Twelve Monkeys (1995)|Day the Earth Stood Still, The (1951)"
Alien Nation (1988),Sneakers (1992)|Powder (1995)|Twelve Monkeys (1995)
Mad Max (1979),Timecop (1994)|Highlander III: The Sorcerer (1994)|Demolition Man (1993)
Mad Max 2 (a.k.a. The Road Warrior) (1981),Timecop (1994)|Highlander III: The Sorcerer (1994)|Demolition Man (1993)
Mad Max Beyond Thunderdome (1985),Timecop (1994)|Highlander III: The Sorcerer (1994)|Demolition Man (1993)
Bird on a Wire (1990),Twister (1996)|GoldenEye (1995)|Cutthroat Island (1995)
Angel Heart (1987),Chinatown (1974)|Palmetto (1998)|Devil in a Blue Dress (1995)
Nine 1/2 Weeks (1986),Nixon (1995)|Othello (1995)|Now and Then (1995)
Firestarter (1984),Relative Fear (1994)|In the Mouth of Madness (1995)|Thinner (1996)
Sleepwalkers (1992),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Action Jackson (1988),"I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)"
Sarafina! (1992),Nixon (1995)|Othello (1995)|Now and Then (1995)
Soapdish (1991),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Long Walk Home, The (1990)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Clara's Heart (1988),Nixon (1995)|Othello (1995)|Now and Then (1995)
Burglar (1987),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Fatal Beauty (1987),New York Cop (1996)|Set It Off (1996)|King of New York (1990)
Gone in 60 Seconds (2000),New York Cop (1996)|Set It Off (1996)|King of New York (1990)
American Pimp (1999),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Love's Labour's Lost (2000),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Sunshine (1999),Nixon (1995)|Othello (1995)|Now and Then (1995)
Trixie (1999),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Live Virgin (1999),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Hamlet (1990),Nixon (1995)|Othello (1995)|Now and Then (1995)
Coming Home (1978),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
American Pop (1981),"Prince of Egypt, The (1998)|Yellow Submarine (1968)|Lion King, The (1994)"
Assault on Precinct 13 (1976),Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
Near Dark (1987),Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)
One False Move (1991),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Shaft (1971),New York Cop (1996)|Set It Off (1996)|King of New York (1990)
"Conversation, The (1974)","Confessional, The (Le Confessionnal) (1995)|Before and After (1996)|Hour of the Pig, The (1993)"
Cutter's Way (1981),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
"Fury, The (1978)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
"Paper Chase, The (1973)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Prince of the City (1981),Nixon (1995)|Othello (1995)|Now and Then (1995)
Serpico (1973),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
"Big Carnival, The (1951)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Lonely Are the Brave (1962),"Geronimo: An American Legend (1993)|Hi-Lo Country, The (1998)|McCabe & Mrs. Miller (1971)"
"Sugarland Express, The (1974)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Trouble in Paradise (1932),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Big Trouble in Little China (1986),"I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)"
Badlands (1973),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
"Battleship Potemkin, The (Bronenosets Potyomkin) (1925)","Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
Boys and Girls (2000),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Shaft (2000),New York Cop (1996)|Set It Off (1996)|King of New York (1990)
Titan A.E. (2000),"Akira (1988)|Lord of the Rings, The (1978)|City of Lost Children, The (1995)"
Butterfly (La Lengua de las Mariposas) (2000),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
Jesus' Son (1999),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Match, The (1999)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Time Regained (Le Temps Retrouv�) (1999),Nixon (1995)|Othello (1995)|Now and Then (1995)
Boricua's Bond (2000),Nixon (1995)|Othello (1995)|Now and Then (1995)
Chicken Run (2000),"Toy Story (1995)|Aladdin and the King of Thieves (1996)|American Tail, An (1986)"
"Me, Myself and Irene (2000)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Patriot, The (2000)",Braveheart (1995)|Heaven & Earth (1993)|Full Metal Jacket (1987)
"Adventures of Rocky and Bullwinkle, The (2000)","Toy Story (1995)|Aladdin and the King of Thieves (1996)|American Tail, An (1986)"
"Perfect Storm, The (2000)",GoldenEye (1995)|Clear and Present Danger (1994)|Surviving the Game (1994)
"Golden Bowl, The (2000)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Asylum (1972),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Communion (1989),"Gattaca (1997)|Thirteenth Floor, The (1999)|2001: A Space Odyssey (1968)"
Fun and Fancy Free (1947),"Lion King, The (1994)|Snow White and the Seven Dwarfs (1937)|Beauty and the Beast (1991)"
"Kentucky Fried Movie, The (1977)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Blood In, Blood Out (a.k.a. Bound by Honor) (1993)","Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
Daughter of Dr. Jeckyll (1957),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
F/X (1986),Heat (1995)|Hackers (1995)|Ronin (1998)
F/X 2 (1992),Heat (1995)|Hackers (1995)|Ronin (1998)
"Hot Spot, The (1990)",Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Missing in Action (1984),Rambo: First Blood Part II (1985)|Rambo III (1988)|Heartbreak Ridge (1986)
Missing in Action 2: The Beginning (1985),Rambo: First Blood Part II (1985)|Rambo III (1988)|Heartbreak Ridge (1986)
Braddock: Missing in Action III (1988),Rambo: First Blood Part II (1985)|Rambo III (1988)|Heartbreak Ridge (1986)
Thunderbolt and Lightfoot (1974),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Dreamscape (1984),Sphere (1998)|Saturn 3 (1979)|Hard Target (1993)
"Golden Voyage of Sinbad, The (1974)","Mortal Kombat (1995)|Waterworld (1995)|Good Man in Africa, A (1994)"
Hatchet For the Honeymoon (Rosso Segno Della Follia) (1969),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
House Party (1990),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
House Party 2 (1991),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Make Mine Music (1946),"Lion King, The (1994)|Snow White and the Seven Dwarfs (1937)|Beauty and the Beast (1991)"
Melody Time (1948),"Lion King, The (1994)|Snow White and the Seven Dwarfs (1937)|Beauty and the Beast (1991)"
Nekromantik (1987),Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)
On Our Merry Way (1948),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Project Moon Base (1953),"Alphaville (1965)|Brazil (1985)|Clockwork Orange, A (1971)"
Rocketship X-M (1950),"Alphaville (1965)|Brazil (1985)|Clockwork Orange, A (1971)"
Shaft in Africa (1973),New York Cop (1996)|Set It Off (1996)|King of New York (1990)
Shaft's Big Score! (1972),New York Cop (1996)|Set It Off (1996)|King of New York (1990)
Croupier (1998),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
"Kid, The (2000)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Scary Movie (2000),Dracula: Dead and Loving It (1995)|Tales from the Hood (1995)|Cemetery Man (Dellamorte Dellamore) (1994)
But I'm a Cheerleader (1999),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Shower (Xizhao) (1999),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Blowup (1966),"Confessional, The (Le Confessionnal) (1995)|Before and After (1996)|Hour of the Pig, The (1993)"
"Pawnbroker, The (1965)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Groove (2000),Nixon (1995)|Othello (1995)|Now and Then (1995)
Footloose (1984),Nixon (1995)|Othello (1995)|Now and Then (1995)
Duel in the Sun (1946),Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)
X-Men (2000),Timecop (1994)|Highlander III: The Sorcerer (1994)|Demolition Man (1993)
Chuck & Buck (2000),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Five Senses, The (1999)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Wisdom of Crocodiles, The (a.k.a. Immortality) (2000)","Rebecca (1940)|Life Less Ordinary, A (1997)|B. Monkey (1998)"
"In Crowd, The (2000)",Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
What Lies Beneath (2000),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Pok�mon the Movie 2000 (2000),"Balto (1995)|Gumby: The Movie (1995)|Swan Princess, The (1994)"
Criminal Lovers (Les Amants Criminels) (1999),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Anatomy of a Murder (1959),"Confessional, The (Le Confessionnal) (1995)|Before and After (1996)|Hour of the Pig, The (1993)"
Freejack (1992),Timecop (1994)|Highlander III: The Sorcerer (1994)|Demolition Man (1993)
Greaser's Palace (1972),Nixon (1995)|Othello (1995)|Now and Then (1995)
H.O.T.S. (1979),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Knightriders (1981),"Ben-Hur (1959)|Emerald Forest, The (1985)|Karate Kid, Part II, The (1986)"
MacKenna's Gold (1969),Wild Bill (1995)|Wyatt Earp (1994)|Bad Girls (1994)
Sinbad and the Eye of the Tiger (1977),"Mortal Kombat (1995)|Waterworld (1995)|Good Man in Africa, A (1994)"
Two Women (La Ciociara) (1961),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
What About Bob? (1991),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
White Sands (1992),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Breaker Morant (1980),"Richard III (1995)|Beyond Rangoon (1995)|Walking Dead, The (1995)"
Everything You Always Wanted to Know About Sex (1972),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Interiors (1978),Nixon (1995)|Othello (1995)|Now and Then (1995)
Love and Death (1975),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Official Story, The (La Historia Oficial) (1985)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Other Side of Sunday, The (S�ndagsengler) (1996)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Pot O' Gold (1941),"Joe's Apartment (1996)|Funny Face (1957)|Band Wagon, The (1953)"
Tampopo (1986),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Thomas and the Magic Railroad (2000),"Baby-Sitters Club, The (1995)|Zeus and Roxanne (1997)|Gnome-Mobile, The (1967)"
Nutty Professor II: The Klumps (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Girl on the Bridge, The (La Fille sur le Pont) (1999)",Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Wonderland (1999),Nixon (1995)|Othello (1995)|Now and Then (1995)
Autumn in New York (2000),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Coyote Ugly (2000),Nixon (1995)|Othello (1995)|Now and Then (1995)
Hollow Man (2000),Body Snatchers (1993)|Village of the Damned (1960)|Children of the Damned (1963)
Space Cowboys (2000),Timecop (1994)|Highlander III: The Sorcerer (1994)|Demolition Man (1993)
Better Living (1998),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Mad About Mambo (2000),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Psycho Beach Party (2000),"Day of the Beast, The (El D�a de la bestia) (1995)|American Psycho (2000)|Dracula: Dead and Loving It (1995)"
Saving Grace (2000),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Black Sabbath (Tre Volti Della Paura, I) (1963)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
"Brain That Wouldn't Die, The (1962)",Species (1995)|Village of the Damned (1995)|Robert A. Heinlein's The Puppet Masters (1994)
Bronco Billy (1980),"Blue Lagoon, The (1980)|First Knight (1995)|Far Off Place, A (1993)"
